"Stimulus","Content"
"ETH Foundation","7b9879f399a482f7a4771b060d5fcb6a_1280x1024.jpg"
"Tide","da45fee4b1f6d845114a600136827d4a_1280x1024.jpg"
"Ford","0e3ec29574295a00a259b345f348ef27_1280x1024.jpg"
"Ikea","656c2af2398d04442cb3d4e5065f3b1f_1280x1024.jpg"
"Harley Davidson","320ec1bd57f74461d0ae6977e780171d_1280x1024.jpg"
"FedEx","d49a24dd1eb16d2a5760bb1745b59bff_1280x1024.jpg"
"VW","c2b681bae458e8b0e2e1ae9d04eed25e_1280x1024.jpg"
"KFC","24cbc6f9af6ed72f023e2407fe5b1c02_1280x1024.jpg"
"Stihl","8a68b458a58a303ae0ded1cfbbd28ce1_1280x1024.jpg"
"Pedrigree","429b81a08f27e2c183557194e1936e1b_1280x1024.jpg"
